Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,66.6,157,Unhealthy,73.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,177.3,228,Very Unhealthy,288.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,126.1,187,Unhealthy,75.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,72.5,160,Unhealthy,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,43.2,120,Unhealthy for Sensitive Groups,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,29.1,87,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,24.5,77,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,18.2,64,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,20.6,69,Moderate,23.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,14.8,57,Moderate,9.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,14.4,56,Moderate,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,15.6,58,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,15.8,59,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,11.8,49,Good,8.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 03:00 PM,2019,01,01,15,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 04:00 PM,2019,01,01,16,11.2,47,Good,11.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 05:00 PM,2019,01,01,17,10.6,44,Good,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 06:00 PM,2019,01,01,18,12.8,52,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 07:00 PM,2019,01,01,19,14.9,57,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 08:00 PM,2019,01,01,20,13.9,55,Moderate,13.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 09:00 PM,2019,01,01,21,14.9,57,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 10:00 PM,2019,01,01,22,17.4,62,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-01 11:00 PM,2019,01,01,23,17.2,62,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 12:00 AM,2019,01,02,00,16.1,59,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 01:00 AM,2019,01,02,01,17.5,62,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 02:00 AM,2019,01,02,02,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 03:00 AM,2019,01,02,03,14.3,56,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 04:00 AM,2019,01,02,04,12.6,52,Moderate,11.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 05:00 AM,2019,01,02,05,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 06:00 AM,2019,01,02,06,13.2,53,Moderate,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 07:00 AM,2019,01,02,07,14.4,56,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 08:00 AM,2019,01,02,08,15.6,58,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 09:00 AM,2019,01,02,09,18.2,64,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 10:00 AM,2019,01,02,10,20.1,68,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 11:00 AM,2019,01,02,11,17.5,62,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 12:00 PM,2019,01,02,12,16.2,60,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 01:00 PM,2019,01,02,13,13.1,53,Moderate,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 02:00 PM,2019,01,02,14,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-01-02 03:00 PM,2019,01,02,15,14.2,55,Moderate,16.0,UG/M3,1 Hr,Valid
