station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SPJC,2020-01-01 00:00,71.60,66.20,83.09,160.00,12.00,0.00,29.88,M,6.21,M,FEW,SCT,M,M,900.00,17000.00,M,M,M,M,M,M,M,M,M,M,SPJC 010000Z 16012KT 9999 FEW009 SCT170 22/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 01:00,69.80,66.20,88.34,160.00,10.00,0.00,29.91,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 010100Z 16010KT 9999 FEW010 21/19 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 02:00,69.80,66.20,88.34,170.00,8.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 010200Z 17008KT CAVOK 21/19 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 03:00,69.80,66.20,88.34,170.00,8.00,0.00,29.94,M,6.21,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 010300Z 17008KT 9999 FEW009 21/19 Q1014 NOSIG RMK PP000
SPJC,2020-01-01 04:00,69.80,66.20,88.34,170.00,8.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 010400Z 17008KT 9999 FEW010 21/19 Q1014 NOSIG RMK PP000
SPJC,2020-01-01 05:00,69.80,66.20,88.34,160.00,8.00,0.00,29.91,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 010500Z 16008KT 9999 FEW010 21/19 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 06:00,69.80,66.20,88.34,160.00,8.00,0.00,29.88,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 010600Z 16008KT 9999 FEW010 21/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 07:00,69.80,68.00,94.01,170.00,9.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,900.00,10000.00,M,M,M,M,M,M,M,M,M,M,SPJC 010700Z 17009KT 9999 FEW009 BKN100 21/20 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 08:00,69.80,66.20,88.34,170.00,8.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,900.00,1500.00,M,M,M,M,M,M,M,M,M,M,SPJC 010800Z 17008KT 9999 FEW009 BKN015 21/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 09:00,69.80,66.20,88.34,160.00,9.00,0.00,29.88,M,6.21,M,SCT,OVC,M,M,1100.00,1500.00,M,M,M,M,M,M,M,M,M,M,SPJC 010900Z 16009KT 9999 SCT011 OVC015 21/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 10:00,69.80,66.20,88.34,170.00,10.00,0.00,29.88,M,6.21,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011000Z 17010KT 9999 OVC011 21/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 11:00,69.80,68.00,94.01,160.00,9.00,0.00,29.88,M,6.21,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011100Z 16009KT 9999 OVC014 21/20 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 12:00,69.80,66.20,88.34,170.00,8.00,0.00,29.91,M,6.21,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011200Z 17008KT 9999 OVC010 21/19 Q1013 NOSIG RMK TN20.7 PP000
SPJC,2020-01-01 13:00,71.60,68.00,88.43,160.00,9.00,0.00,29.91,M,6.21,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011300Z 16009KT 9999 OVC012 22/20 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 14:00,71.60,66.20,83.09,180.00,10.00,0.00,29.94,M,6.21,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011400Z 18010KT 9999 OVC012 22/19 Q1014 NOSIG RMK PP000
SPJC,2020-01-01 15:00,73.40,66.20,78.19,160.00,10.00,0.00,29.94,M,6.21,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011500Z 16010KT 9999 OVC012 23/19 Q1014 NOSIG RMK PP000
SPJC,2020-01-01 16:00,75.20,66.20,73.61,170.00,10.00,0.00,29.91,M,6.21,M,BKN,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 011600Z 17010KT 140V200 9999 BKN016 24/19 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 17:00,77.00,66.20,69.33,180.00,10.00,0.00,29.91,M,6.21,M,FEW,SCT,M,M,1900.00,17000.00,M,M,M,M,M,M,M,M,M,M,SPJC 011700Z 18010KT 9999 FEW019 SCT170 25/19 Q1013 NOSIG RMK PP000
SPJC,2020-01-01 18:00,77.00,66.20,69.33,180.00,10.00,0.00,29.88,M,6.21,M,SCT,SCT,M,M,6000.00,13000.00,M,M,M,M,M,M,M,M,M,M,SPJC 011800Z 18010KT 9999 SCT060 SCT130 25/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-01 19:00,77.00,66.20,69.33,170.00,13.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 011900Z 17013KT CAVOK 25/19 Q1011 NOSIG RMK PP000
SPJC,2020-01-01 20:00,77.00,66.20,69.33,180.00,14.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 012000Z 18014KT CAVOK 25/19 Q1011 NOSIG RMK PP000
SPJC,2020-01-01 21:00,77.00,66.20,69.33,160.00,14.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 012100Z 16014KT CAVOK 25/19 Q1011 NOSIG RMK PP000
SPJC,2020-01-01 22:00,75.20,66.20,73.61,170.00,15.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 012200Z 17015KT CAVOK 24/19 Q1011 NOSIG RMK PP000
SPJC,2020-01-01 23:00,75.20,66.20,73.61,160.00,14.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 012300Z 16014KT CAVOK 24/19 Q1011 NOSIG RMK PP000
SPJC,2020-01-02 00:00,71.60,68.00,88.43,160.00,13.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,SPJC 020000Z 16013KT CAVOK 22/20 Q1012 NOSIG RMK PP000
SPJC,2020-01-02 01:00,71.60,68.00,88.43,160.00,12.00,0.00,29.91,M,6.21,M,FEW,SCT,M,M,900.00,7000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020100Z 16012KT 9999 FEW009 SCT070 22/20 Q1013 NOSIG RMK PP000
SPJC,2020-01-02 02:00,71.60,68.00,88.43,160.00,10.00,0.00,29.94,M,6.21,M,FEW,SCT,M,M,1000.00,12000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020200Z 16010KT 9999 FEW010 SCT120 22/20 Q1014 NOSIG RMK PP000
SPJC,2020-01-02 03:00,71.60,68.00,88.43,170.00,8.00,0.00,29.94,M,6.21,M,FEW,SCT,M,M,1000.00,13000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020300Z 17008KT 9999 FEW010 SCT130 22/20 Q1014 NOSIG RMK PP000
SPJC,2020-01-02 04:00,69.80,68.00,94.01,160.00,9.00,0.00,29.94,M,6.21,M,FEW,SCT,M,M,1000.00,11000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020400Z 16009KT 9999 FEW010 SCT110 21/20 Q1014 NOSIG RMK PP000
SPJC,2020-01-02 05:00,69.80,68.00,94.01,150.00,11.00,0.00,29.91,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 020500Z 15011KT 9999 BKN009 21/20 Q1013 NOSIG RMK PP000
SPJC,2020-01-02 06:00,69.80,68.00,94.01,150.00,11.00,0.00,29.91,M,6.21,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 020600Z 15011KT 9999 OVC008 21/20 Q1013 NOSIG RMK PP000
SPJC,2020-01-02 07:00,69.80,68.00,94.01,160.00,8.00,0.00,29.88,M,6.21,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,SPJC 020700Z 16008KT 9999 OVC010 21/20 Q1012 NOSIG RMK PP000
SPJC,2020-01-02 08:00,69.80,66.20,88.34,160.00,7.00,0.00,29.88,M,6.21,M,SCT,SCT,M,M,900.00,23000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020800Z 16007KT 9999 SCT009 SCT230 21/19 Q1012 NOSIG RMK PP000
SPJC,2020-01-02 09:00,69.80,66.20,88.34,180.00,7.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,900.00,10000.00,M,M,M,M,M,M,M,M,M,M,SPJC 020900Z 18007KT 9999 FEW009 BKN100 21/19 Q1012 NOSIG RMK PP000
