Site,Parameter,Date..LT.,Year,Month,Day,Hour,NowCast.Conc.,AQI,AQI.Category,Raw.Conc.,Conc..Unit,Duration,QC.Name
Lima,PM2.5 - Principal,2021-03-01 01:00 AM,2021,3,1,1,4.3,18,Good,2,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 02:00 AM,2021,3,1,2,3.1,13,Good,2,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 03:00 AM,2021,3,1,3,4,17,Good,5,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 04:00 AM,2021,3,1,4,4,17,Good,4,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 05:00 AM,2021,3,1,5,3.5,15,Good,3,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 06:00 AM,2021,3,1,6,5.2,22,Good,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 07:00 AM,2021,3,1,7,5.6,23,Good,6,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 08:00 AM,2021,3,1,8,7.8,33,Good,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 09:00 AM,2021,3,1,9,9.9,41,Good,12,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 10:00 AM,2021,3,1,10,8.4,35,Good,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 11:00 AM,2021,3,1,11,6.7,28,Good,5,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 12:00 PM,2021,3,1,12,6.8,28,Good,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 01:00 PM,2021,3,1,13,5.9,25,Good,5,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 02:00 PM,2021,3,1,14,5.9,25,Good,6,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 03:00 PM,2021,3,1,15,6.9,29,Good,8,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 04:00 PM,2021,3,1,16,8.4,35,Good,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 05:00 PM,2021,3,1,17,7.7,32,Good,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 06:00 PM,2021,3,1,18,6.3,26,Good,5,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 07:00 PM,2021,3,1,19,6.1,25,Good,6,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 08:00 PM,2021,3,1,20,5.5,23,Good,5,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 09:00 PM,2021,3,1,21,4.2,18,Good,3,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-03-01 10:00 PM,2021,3,1,22,3.6,15,Good,3,UG/M3,1 Hr,Valid
